Continente,cod continente,País,cod pais,UF,cod uf,Via,cod via,ano,Mês,cod mes,Chegadas
Ásia,5,Taiwan,221,Bahia,5,Aérea,1,2019,janeiro,1,1
Ásia,5,Outros países,998,Bahia,5,Aérea,1,2019,janeiro,1,2
Europa,6,Alemanha,4,Bahia,5,Aérea,1,2019,janeiro,1,370
Europa,6,Áustria,15,Bahia,5,Aérea,1,2019,janeiro,1,29
Europa,6,Bélgica,21,Bahia,5,Aérea,1,2019,janeiro,1,53
Europa,6,Bulgária,31,Bahia,5,Aérea,1,2019,janeiro,1,0
Europa,6,Croácia,54,Bahia,5,Aérea,1,2019,janeiro,1,6
Europa,6,Dinamarca,57,Bahia,5,Aérea,1,2019,janeiro,1,27
Europa,6,Eslováquia,65,Bahia,5,Aérea,1,2019,janeiro,1,3
Europa,6,Eslovênia,66,Bahia,5,Aérea,1,2019,janeiro,1,18
Europa,6,Espanha,67,Bahia,5,Aérea,1,2019,janeiro,1,692
Europa,6,Estônia,69,Bahia,5,Aérea,1,2019,janeiro,1,0
Europa,6,Finlândia,73,Bahia,5,Aérea,1,2019,janeiro,1,9
Europa,6,França,74,Bahia,5,Aérea,1,2019,janeiro,1,529
Europa,6,Grécia,81,Bahia,5,Aérea,1,2019,janeiro,1,6
Europa,6,Holanda,92,Bahia,5,Aérea,1,2019,janeiro,1,192
Europa,6,Hungria,94,Bahia,5,Aérea,1,2019,janeiro,1,6
Europa,6,Irlanda,117,Bahia,5,Aérea,1,2019,janeiro,1,11
Europa,6,Itália,120,Bahia,5,Aérea,1,2019,janeiro,1,1212
Europa,6,Letônia,129,Bahia,5,Aérea,1,2019,janeiro,1,1
Europa,6,Lituânia,134,Bahia,5,Aérea,1,2019,janeiro,1,0
Europa,6,Luxemburgo,135,Bahia,5,Aérea,1,2019,janeiro,1,2
Europa,6,Noruega,164,Bahia,5,Aérea,1,2019,janeiro,1,10
Europa,6,Polônia,177,Bahia,5,Aérea,1,2019,janeiro,1,11
Europa,6,Portugal,179,Bahia,5,Aérea,1,2019,janeiro,1,781
Europa,6,Reino Unido,182,Bahia,5,Aérea,1,2019,janeiro,1,118
Europa,6,República Tcheca,187,Bahia,5,Aérea,1,2019,janeiro,1,4
Europa,6,Romênia,188,Bahia,5,Aérea,1,2019,janeiro,1,8
Europa,6,Rússia,190,Bahia,5,Aérea,1,2019,janeiro,1,4
Europa,6,Sérvia,208,Bahia,5,Aérea,1,2019,janeiro,1,0
Europa,6,Suécia,215,Bahia,5,Aérea,1,2019,janeiro,1,29
Europa,6,Suíça,216,Bahia,5,Aérea,1,2019,janeiro,1,378
Europa,6,Turquia,230,Bahia,5,Aérea,1,2019,janeiro,1,5
Europa,6,Ucrânia,232,Bahia,5,Aérea,1,2019,janeiro,1,2
Europa,6,Outros países,998,Bahia,5,Aérea,1,2019,janeiro,1,3
Oceania,7,Austrália,14,Bahia,5,Aérea,1,2019,janeiro,1,2
Oceania,7,Nova Zelândia,166,Bahia,5,Aérea,1,2019,janeiro,1,3
Oceania,7,Outros países,998,Bahia,5,Aérea,1,2019,janeiro,1,0
Continente não especificado,8,Países não especificados,999,Bahia,5,Aérea,1,2019,janeiro,1,0
África,1,África do Sul,2,Bahia,5,Aérea,1,2019,fevereiro,2,2
África,1,Angola,6,Bahia,5,Aérea,1,2019,fevereiro,2,1
África,1,Cabo Verde,35,Bahia,5,Aérea,1,2019,fevereiro,2,2
África,1,Egito,60,Bahia,5,Aérea,1,2019,fevereiro,2,0
África,1,Gana,77,Bahia,5,Aérea,1,2019,fevereiro,2,0
África,1,Marrocos,143,Bahia,5,Aérea,1,2019,fevereiro,2,0
África,1,Moçambique,151,Bahia,5,Aérea,1,2019,fevereiro,2,0
África,1,Nigéria,162,Bahia,5,Aérea,1,2019,fevereiro,2,1
África,1,Quênia,180,Bahia,5,Aérea,1,2019,fevereiro,2,0
África,1,Tunísia,228,Bahia,5,Aérea,1,2019,fevereiro,2,1
África,1,Outros países,998,Bahia,5,Aérea,1,2019,fevereiro,2,1
América Central e Caribe,2,Costa Rica,53,Bahia,5,Aérea,1,2019,fevereiro,2,12
América Central e Caribe,2,Cuba,55,Bahia,5,Aérea,1,2019,fevereiro,2,7
América Central e Caribe,2,El Salvador,61,Bahia,5,Aérea,1,2019,fevereiro,2,3
América Central e Caribe,2,Guatemala,84,Bahia,5,Aérea,1,2019,fevereiro,2,4
América Central e Caribe,2,Haiti,91,Bahia,5,Aérea,1,2019,fevereiro,2,1
América Central e Caribe,2,Honduras,93,Bahia,5,Aérea,1,2019,fevereiro,2,0
América Central e Caribe,2,Nicarágua,160,Bahia,5,Aérea,1,2019,fevereiro,2,2
América Central e Caribe,2,Panamá,170,Bahia,5,Aérea,1,2019,fevereiro,2,38
América Central e Caribe,2,República Dominicana,186,Bahia,5,Aérea,1,2019,fevereiro,2,4
América Central e Caribe,2,Trinidad e Tobago,227,Bahia,5,Aérea,1,2019,fevereiro,2,0
América Central e Caribe,2,Outros países,998,Bahia,5,Aérea,1,2019,fevereiro,2,3
América do Norte,3,Canadá,38,Bahia,5,Aérea,1,2019,fevereiro,2,12
América do Norte,3,Estados Unidos,68,Bahia,5,Aérea,1,2019,fevereiro,2,215
América do Norte,3,México,148,Bahia,5,Aérea,1,2019,fevereiro,2,26
América do Sul,4,Argentina,11,Bahia,5,Aérea,1,2019,fevereiro,2,13186
América do Sul,4,Bolívia,26,Bahia,5,Aérea,1,2019,fevereiro,2,12
América do Sul,4,Chile,42,Bahia,5,Aérea,1,2019,fevereiro,2,328
América do Sul,4,Colômbia,48,Bahia,5,Aérea,1,2019,fevereiro,2,171
América do Sul,4,Equador,63,Bahia,5,Aérea,1,2019,fevereiro,2,8
América do Sul,4,Guiana,86,Bahia,5,Aérea,1,2019,fevereiro,2,0
América do Sul,4,Guiana Francesa,87,Bahia,5,Aérea,1,2019,fevereiro,2,0
América do Sul,4,Paraguai,173,Bahia,5,Aérea,1,2019,fevereiro,2,33
América do Sul,4,Peru,174,Bahia,5,Aérea,1,2019,fevereiro,2,24
América do Sul,4,Suriname,217,Bahia,5,Aérea,1,2019,fevereiro,2,0
América do Sul,4,Uruguai,234,Bahia,5,Aérea,1,2019,fevereiro,2,54
América do Sul,4,Venezuela,238,Bahia,5,Aérea,1,2019,fevereiro,2,16
Ásia,5,Arábia Saudita,9,Bahia,5,Aérea,1,2019,fevereiro,2,0
Ásia,5,Bangladesh,18,Bahia,5,Aérea,1,2019,fevereiro,2,0
Ásia,5,China,43,Bahia,5,Aérea,1,2019,fevereiro,2,2
Ásia,5,China Hong Kong,44,Bahia,5,,1,2019,fevereiro,2,1
Ásia,5,Cingapura,47,Bahia,5,Aérea,1,2019,fevereiro,2,0
Ásia,5,Filipinas,72,Bahia,5,Aérea,1,2019,fevereiro,2,0
Ásia,5,Índia,113,Bahia,5,Aérea,1,2019,fevereiro,2,4
Ásia,5,Indonésia,114,Bahia,5,Aérea,1,2019,fevereiro,2,0
Ásia,5,Irã,115,Bahia,5,Aérea,1,2019,fevereiro,2,0
Ásia,5,Israel,119,Bahia,5,Aérea,1,2019,fevereiro,2,76
Ásia,5,Japão,122,Bahia,5,Aérea,1,2019,fevereiro,2,7
Ásia,5,Líbano,130,Bahia,5,Aérea,1,2019,fevereiro,2,0
Ásia,5,Malásia,138,Bahia,5,Aérea,1,2019,fevereiro,2,0
Ásia,5,Paquistão,172,Bahia,5,Aérea,1,2019,fevereiro,2,0
Ásia,5,República da Coreia,184,Bahia,5,Aérea,1,2019,fevereiro,2,6
Ásia,5,Síria,209,Bahia,5,Aérea,1,2019,fevereiro,2,0
Ásia,5,Tailândia,220,Bahia,5,Aérea,1,2019,fevereiro,2,0
Ásia,5,Taiwan,221,Bahia,5,Aérea,1,2019,fevereiro,2,1
Ásia,5,Outros países,998,Bahia,5,Aérea,1,2019,fevereiro,2,1
Europa,6,Alemanha,4,Bahia,5,Aérea,1,2019,fevereiro,2,590
Europa,6,Áustria,15,Bahia,5,Aérea,1,2019,fevereiro,2,31
Europa,6,Bélgica,21,Bahia,5,Aérea,1,2019,fevereiro,2,88
Europa,6,Bulgária,31,Bahia,5,Aérea,1,2019,fevereiro,2,2
Europa,6,Croácia,54,Bahia,5,Aérea,1,2019,fevereiro,2,4
Europa,6,Dinamarca,57,Bahia,5,Aérea,1,2019,fevereiro,2,24
Europa,6,Eslováquia,65,Bahia,5,Aérea,1,2019,fevereiro,2,2
Europa,6,Eslovênia,66,Bahia,5,Aérea,1,2019,fevereiro,2,12
Europa,6,Espanha,67,Bahia,5,Aérea,1,2019,fevereiro,2,418
Europa,6,Estônia,69,Bahia,5,Aérea,1,2019,fevereiro,2,0
Europa,6,Finlândia,73,Bahia,5,Aérea,1,2019,fevereiro,2,3
Europa,6,França,74,Bahia,5,Aérea,1,2019,fevereiro,2,1050
Europa,6,Grécia,81,Bahia,5,Aérea,1,2019,fevereiro,2,6
Europa,6,Holanda,92,Bahia,5,Aérea,1,2019,fevereiro,2,273
Europa,6,Hungria,94,Bahia,5,Aérea,1,2019,fevereiro,2,12
Europa,6,Irlanda,117,Bahia,5,Aérea,1,2019,fevereiro,2,25
Europa,6,Itália,120,Bahia,5,Aérea,1,2019,fevereiro,2,1046
Europa,6,Letônia,129,Bahia,5,Aérea,1,2019,fevereiro,2,1
Europa,6,Lituânia,134,Bahia,5,Aérea,1,2019,fevereiro,2,1
Europa,6,Luxemburgo,135,Bahia,5,Aérea,1,2019,fevereiro,2,4
Europa,6,Noruega,164,Bahia,5,Aérea,1,2019,fevereiro,2,23
Europa,6,Polônia,177,Bahia,5,Aérea,1,2019,fevereiro,2,15
Europa,6,Portugal,179,Bahia,5,Aérea,1,2019,fevereiro,2,1533
Europa,6,Reino Unido,182,Bahia,5,Aérea,1,2019,fevereiro,2,210
Europa,6,República Tcheca,187,Bahia,5,Aérea,1,2019,fevereiro,2,6
Europa,6,Romênia,188,Bahia,5,Aérea,1,2019,fevereiro,2,10
Europa,6,Rússia,190,Bahia,5,Aérea,1,2019,fevereiro,2,7
Europa,6,Sérvia,208,Bahia,5,Aérea,1,2019,fevereiro,2,2
Europa,6,Suécia,215,Bahia,5,Aérea,1,2019,fevereiro,2,9
Europa,6,Suíça,216,Bahia,5,Aérea,1,2019,fevereiro,2,402
Europa,6,Turquia,230,Bahia,5,Aérea,1,2019,fevereiro,2,8
Europa,6,Ucrânia,232,Bahia,5,Aérea,1,2019,fevereiro,2,1
Europa,6,Outros países,998,Bahia,5,Aérea,1,2019,fevereiro,2,4
Oceania,7,Austrália,14,Bahia,5,Aérea,1,2019,fevereiro,2,8
Oceania,7,Nova Zelândia,166,Bahia,5,Aérea,1,2019,fevereiro,2,3
Oceania,7,Outros países,998,Bahia,5,Aérea,1,2019,fevereiro,2,0
Continente não especificado,8,Países não especificados,999,Bahia,5,Aérea,1,2019,fevereiro,2,0
África,1,África do Sul,2,Bahia,5,Aérea,1,2019,março,3,0
África,1,Angola,6,Bahia,5,Aérea,1,2019,março,3,2
África,1,Cabo Verde,35,Bahia,5,Aérea,1,2019,março,3,11
África,1,Egito,60,Bahia,5,Aérea,1,2019,março,3,1
África,1,Gana,77,Bahia,5,Aérea,1,2019,março,3,1
África,1,Marrocos,143,Bahia,5,Aérea,1,2019,março,3,0
África,1,Moçambique,151,Bahia,5,Aérea,1,2019,março,3,0
África,1,Nigéria,162,Bahia,5,Aérea,1,2019,março,3,0
África,1,Quênia,180,Bahia,5,Aérea,1,2019,março,3,0
África,1,Tunísia,228,Bahia,5,Aérea,1,2019,março,3,1
África,1,Outros países,998,Bahia,5,Aérea,1,2019,março,3,5
América Central e Caribe,2,Costa Rica,53,Bahia,5,Aérea,1,2019,março,3,2
América Central e Caribe,2,Cuba,55,Bahia,5,Aérea,1,2019,março,3,9
América Central e Caribe,2,El Salvador,61,Bahia,5,Aérea,1,2019,março,3,1
América Central e Caribe,2,Guatemala,84,Bahia,5,Aérea,1,2019,março,3,0
América Central e Caribe,2,Haiti,91,Bahia,5,Aérea,1,2019,março,3,0
América Central e Caribe,2,Honduras,93,Bahia,5,Aérea,1,2019,março,3,0
América Central e Caribe,2,Nicarágua,160,Bahia,5,Aérea,1,2019,março,3,1
América Central e Caribe,2,Panamá,170,Bahia,5,Aérea,1,2019,março,3,48
América Central e Caribe,2,República Dominicana,186,Bahia,5,Aérea,1,2019,março,3,4
América Central e Caribe,2,Trinidad e Tobago,227,Bahia,5,Aérea,1,2019,março,3,0
América Central e Caribe,2,Outros países,998,Bahia,5,Aérea,1,2019,março,3,0
América do Norte,3,Canadá,38,Bahia,5,Aérea,1,2019,março,3,12
América do Norte,3,Estados Unidos,68,Bahia,5,Aérea,1,2019,março,3,228
América do Norte,3,México,148,Bahia,5,Aérea,1,2019,março,3,16
América do Sul,4,Argentina,11,Bahia,5,Aérea,1,2019,março,3,7876
América do Sul,4,Bolívia,26,Bahia,5,Aérea,1,2019,março,3,17
América do Sul,4,Chile,42,Bahia,5,Aérea,1,2019,março,3,13
América do Sul,4,Colômbia,48,Bahia,5,Aérea,1,2019,março,3,117
América do Sul,4,Equador,63,Bahia,5,Aérea,1,2019,março,3,0
América do Sul,4,Guiana,86,Bahia,5,Aérea,1,2019,março,3,0
América do Sul,4,Guiana Francesa,87,Bahia,5,Aérea,1,2019,março,3,0
América do Sul,4,Paraguai,173,Bahia,5,Aérea,1,2019,março,3,23
América do Sul,4,Peru,174,Bahia,5,Aérea,1,2019,março,3,9
América do Sul,4,Suriname,217,Bahia,5,Aérea,1,2019,março,3,0
América do Sul,4,Uruguai,234,Bahia,5,Aérea,1,2019,março,3,28
América do Sul,4,Venezuela,238,Bahia,5,Aérea,1,2019,março,3,13
Ásia,5,Arábia Saudita,9,Bahia,5,Aérea,1,2019,março,3,2
Ásia,5,Bangladesh,18,Bahia,5,Aérea,1,2019,março,3,0
Ásia,5,China,43,Bahia,5,Aérea,1,2019,março,3,1
Ásia,5,China Hong Kong,44,Bahia,5,,1,2019,março,3,0
Ásia,5,Cingapura,47,Bahia,5,Aérea,1,2019,março,3,0
Ásia,5,Filipinas,72,Bahia,5,Aérea,1,2019,março,3,0
Ásia,5,Índia,113,Bahia,5,Aérea,1,2019,março,3,2
Ásia,5,Indonésia,114,Bahia,5,Aérea,1,2019,março,3,0
Ásia,5,Irã,115,Bahia,5,Aérea,1,2019,março,3,2
Ásia,5,Israel,119,Bahia,5,Aérea,1,2019,março,3,17
Ásia,5,Japão,122,Bahia,5,Aérea,1,2019,março,3,0
Ásia,5,Líbano,130,Bahia,5,Aérea,1,2019,março,3,1
Ásia,5,Malásia,138,Bahia,5,Aérea,1,2019,março,3,0
Ásia,5,Paquistão,172,Bahia,5,Aérea,1,2019,março,3,0
Ásia,5,República da Coreia,184,Bahia,5,Aérea,1,2019,março,3,6
Ásia,5,Síria,209,Bahia,5,Aérea,1,2019,março,3,0
Ásia,5,Tailândia,220,Bahia,5,Aérea,1,2019,março,3,0
Ásia,5,Taiwan,221,Bahia,5,Aérea,1,2019,março,3,2
Ásia,5,Outros países,998,Bahia,5,Aérea,1,2019,março,3,1
Europa,6,Alemanha,4,Bahia,5,Aérea,1,2019,março,3,394
Europa,6,Áustria,15,Bahia,5,Aérea,1,2019,março,3,30
Europa,6,Bélgica,21,Bahia,5,Aérea,1,2019,março,3,68
Europa,6,Bulgária,31,Bahia,5,Aérea,1,2019,março,3,1
Europa,6,Croácia,54,Bahia,5,Aérea,1,2019,março,3,3
Europa,6,Dinamarca,57,Bahia,5,Aérea,1,2019,março,3,8
Europa,6,Eslováquia,65,Bahia,5,Aérea,1,2019,março,3,6
Europa,6,Eslovênia,66,Bahia,5,Aérea,1,2019,março,3,2
Europa,6,Espanha,67,Bahia,5,Aérea,1,2019,março,3,329
Europa,6,Estônia,69,Bahia,5,Aérea,1,2019,março,3,3
Europa,6,Finlândia,73,Bahia,5,Aérea,1,2019,março,3,1
Europa,6,França,74,Bahia,5,Aérea,1,2019,março,3,701
Europa,6,Grécia,81,Bahia,5,Aérea,1,2019,março,3,8
Europa,6,Holanda,92,Bahia,5,Aérea,1,2019,março,3,102
Europa,6,Hungria,94,Bahia,5,Aérea,1,2019,março,3,1
Europa,6,Irlanda,117,Bahia,5,Aérea,1,2019,março,3,16
Europa,6,Itália,120,Bahia,5,Aérea,1,2019,março,3,722
Europa,6,Letônia,129,Bahia,5,Aérea,1,2019,março,3,2
Europa,6,Lituânia,134,Bahia,5,Aérea,1,2019,março,3,6
Europa,6,Luxemburgo,135,Bahia,5,Aérea,1,2019,março,3,3
Europa,6,Noruega,164,Bahia,5,Aérea,1,2019,março,3,11
Europa,6,Polônia,177,Bahia,5,Aérea,1,2019,março,3,6
Europa,6,Portugal,179,Bahia,5,Aérea,1,2019,março,3,1087
Europa,6,Reino Unido,182,Bahia,5,Aérea,1,2019,março,3,123
Europa,6,República Tcheca,187,Bahia,5,Aérea,1,2019,março,3,7
Europa,6,Romênia,188,Bahia,5,Aérea,1,2019,março,3,4
Europa,6,Rússia,190,Bahia,5,Aérea,1,2019,março,3,3
Europa,6,Sérvia,208,Bahia,5,Aérea,1,2019,março,3,1
Europa,6,Suécia,215,Bahia,5,Aérea,1,2019,março,3,9
Europa,6,Suíça,216,Bahia,5,Aérea,1,2019,março,3,334
Europa,6,Turquia,230,Bahia,5,Aérea,1,2019,março,3,6
Europa,6,Ucrânia,232,Bahia,5,Aérea,1,2019,março,3,0
Europa,6,Outros países,998,Bahia,5,Aérea,1,2019,março,3,3
Oceania,7,Austrália,14,Bahia,5,Aérea,1,2019,março,3,6
Oceania,7,Nova Zelândia,166,Bahia,5,Aérea,1,2019,março,3,1
Oceania,7,Outros países,998,Bahia,5,Aérea,1,2019,março,3,0
Continente não especificado,8,Países não especificados,999,Bahia,5,Aérea,1,2019,março,3,0
África,1,África do Sul,2,Bahia,5,Aérea,1,2019,abril,4,1
África,1,Angola,6,Bahia,5,Aérea,1,2019,abril,4,0
África,1,Cabo Verde,35,Bahia,5,Aérea,1,2019,abril,4,3
África,1,Egito,60,Bahia,5,Aérea,1,2019,abril,4,0
África,1,Gana,77,Bahia,5,Aérea,1,2019,abril,4,0
África,1,Marrocos,143,Bahia,5,Aérea,1,2019,abril,4,0
África,1,Moçambique,151,Bahia,5,Aérea,1,2019,abril,4,1
África,1,Nigéria,162,Bahia,5,Aérea,1,2019,abril,4,0
África,1,Quênia,180,Bahia,5,Aérea,1,2019,abril,4,0
África,1,Tunísia,228,Bahia,5,Aérea,1,2019,abril,4,1
África,1,Outros países,998,Bahia,5,Aérea,1,2019,abril,4,3
América Central e Caribe,2,Costa Rica,53,Bahia,5,Aérea,1,2019,abril,4,3
América Central e Caribe,2,Cuba,55,Bahia,5,Aérea,1,2019,abril,4,0
América Central e Caribe,2,El Salvador,61,Bahia,5,Aérea,1,2019,abril,4,4
América Central e Caribe,2,Guatemala,84,Bahia,5,Aérea,1,2019,abril,4,5
América Central e Caribe,2,Haiti,91,Bahia,5,Aérea,1,2019,abril,4,0
América Central e Caribe,2,Honduras,93,Bahia,5,Aérea,1,2019,abril,4,0
América Central e Caribe,2,Nicarágua,160,Bahia,5,Aérea,1,2019,abril,4,0
América Central e Caribe,2,Panamá,170,Bahia,5,Aérea,1,2019,abril,4,8
América Central e Caribe,2,República Dominicana,186,Bahia,5,Aérea,1,2019,abril,4,2
América Central e Caribe,2,Trinidad e Tobago,227,Bahia,5,Aérea,1,2019,abril,4,0
América Central e Caribe,2,Outros países,998,Bahia,5,Aérea,1,2019,abril,4,1
América do Norte,3,Canadá,38,Bahia,5,Aérea,1,2019,abril,4,6
América do Norte,3,Estados Unidos,68,Bahia,5,Aérea,1,2019,abril,4,80
América do Norte,3,México,148,Bahia,5,Aérea,1,2019,abril,4,9
América do Sul,4,Argentina,11,Bahia,5,Aérea,1,2019,abril,4,5414
América do Sul,4,Bolívia,26,Bahia,5,Aérea,1,2019,abril,4,1
América do Sul,4,Chile,42,Bahia,5,Aérea,1,2019,abril,4,20
América do Sul,4,Colômbia,48,Bahia,5,Aérea,1,2019,abril,4,37
América do Sul,4,Equador,63,Bahia,5,Aérea,1,2019,abril,4,2
América do Sul,4,Guiana,86,Bahia,5,Aérea,1,2019,abril,4,0
América do Sul,4,Guiana Francesa,87,Bahia,5,Aérea,1,2019,abril,4,0
América do Sul,4,Paraguai,173,Bahia,5,Aérea,1,2019,abril,4,9
América do Sul,4,Peru,174,Bahia,5,Aérea,1,2019,abril,4,6
América do Sul,4,Suriname,217,Bahia,5,Aérea,1,2019,abril,4,0
América do Sul,4,Uruguai,234,Bahia,5,Aérea,1,2019,abril,4,1142
América do Sul,4,Venezuela,238,Bahia,5,Aérea,1,2019,abril,4,6
Ásia,5,Arábia Saudita,9,Bahia,5,Aérea,1,2019,abril,4,0
Ásia,5,Bangladesh,18,Bahia,5,Aérea,1,2019,abril,4,0
Ásia,5,China,43,Bahia,5,Aérea,1,2019,abril,4,4
Ásia,5,China Hong Kong,44,Bahia,5,,1,2019,abril,4,1
Ásia,5,Cingapura,47,Bahia,5,Aérea,1,2019,abril,4,0
Ásia,5,Filipinas,72,Bahia,5,Aérea,1,2019,abril,4,1
Ásia,5,Índia,113,Bahia,5,Aérea,1,2019,abril,4,3
Ásia,5,Indonésia,114,Bahia,5,Aérea,1,2019,abril,4,2
Ásia,5,Irã,115,Bahia,5,Aérea,1,2019,abril,4,0
Ásia,5,Israel,119,Bahia,5,Aérea,1,2019,abril,4,20
Ásia,5,Japão,122,Bahia,5,Aérea,1,2019,abril,4,0
Ásia,5,Líbano,130,Bahia,5,Aérea,1,2019,abril,4,0
Ásia,5,Malásia,138,Bahia,5,Aérea,1,2019,abril,4,1
Ásia,5,Paquistão,172,Bahia,5,Aérea,1,2019,abril,4,0
Ásia,5,República da Coreia,184,Bahia,5,Aérea,1,2019,abril,4,3
Ásia,5,Síria,209,Bahia,5,Aérea,1,2019,abril,4,1
Ásia,5,Tailândia,220,Bahia,5,Aérea,1,2019,abril,4,0
Ásia,5,Taiwan,221,Bahia,5,Aérea,1,2019,abril,4,1
Ásia,5,Outros países,998,Bahia,5,Aérea,1,2019,abril,4,0
Europa,6,Alemanha,4,Bahia,5,Aérea,1,2019,abril,4,342
Europa,6,Áustria,15,Bahia,5,Aérea,1,2019,abril,4,8
Europa,6,Bélgica,21,Bahia,5,Aérea,1,2019,abril,4,110
Europa,6,Bulgária,31,Bahia,5,Aérea,1,2019,abril,4,0
Europa,6,Croácia,54,Bahia,5,Aérea,1,2019,abril,4,2
Europa,6,Dinamarca,57,Bahia,5,Aérea,1,2019,abril,4,7
Europa,6,Eslováquia,65,Bahia,5,Aérea,1,2019,abril,4,1
Europa,6,Eslovênia,66,Bahia,5,Aérea,1,2019,abril,4,4
Europa,6,Espanha,67,Bahia,5,Aérea,1,2019,abril,4,358
Europa,6,Estônia,69,Bahia,5,Aérea,1,2019,abril,4,1
Europa,6,Finlândia,73,Bahia,5,Aérea,1,2019,abril,4,3
Europa,6,França,74,Bahia,5,Aérea,1,2019,abril,4,383
Europa,6,Grécia,81,Bahia,5,Aérea,1,2019,abril,4,6
Europa,6,Holanda,92,Bahia,5,Aérea,1,2019,abril,4,30
Europa,6,Hungria,94,Bahia,5,Aérea,1,2019,abril,4,4
